Buy,Current_Price,Hold,No of Securities,Profit or Loss,ROI,Sell,Time taken,Total ROI,Volatility,Trend
10,98.5,0,110,0.0,-0.13636363636363635,0,1701337007.313647,-0.001066617443470235,True,down
23,104.1,0,133,0.0,0.7090225563909774,0,1701337024.1616538,-0.0008347092515149545,True,down
0,108.87,133,133,0.0,0.0,0,1701337182.529975,-0.0007981375317599592,True,down
0,118.01,133,133,0.0,0.0,0,1701337195.718059,-0.00073632093113047,True,down
0,99.72,133,133,0.0,0.0,0,1701337208.694705,-0.000871372172911219,True,down
3,82.92,0,136,0.0,-0.37676470588235295,0,1701337299.8994553,-0.0010248006583241107,True,down
0,73.05,0,122,-377.3,0.0,14,1701337345.0323746,-0.0012967538515052568,True,down
0,75.61,122,122,0.0,0.0,0,1701337356.3071654,-0.001252848417569885,True,down
0,88.97,122,122,0.0,0.0,0,1701337365.911154,-0.001064716970354715,True,down
0,75.77,0,110,-290.76,0.0,12,1701337379.2867827,-0.001386588599469687,True,down
0,81.77,110,110,0.0,0.0,0,1701337397.8761964,-0.001284845520139638,True,down
0,76.78,0,89,-487.62,0.0,21,1701337420.7292848,-0.00169121757480149,True,down
