Buy,Current_Price,Hold,No of Securities,Profit or Loss,ROI,Sell,Time taken,Total ROI,Volatility,Trend
0,101.12,100,100,0.0,0.0,0,1701337471.0323215,3.8844936708860755e-05,False,up
0,103.55,100,100,0.0,0.0,0,1701337489.6613307,3.7933365523901495e-05,False,up
0,104.48,0,88,53.76,0.6109090909090908,12,1701337504.925758,4.272240011137408e-05,False,up
0,98.19,0,80,-14.48,-0.181,8,1701337525.6301265,5.000509216824524e-05,False,up
0,97.57,80,80,0.0,0.0,0,1701337542.9306831,5.032284513682484e-05,False,up
0,95.51,80,80,0.0,0.0,0,1701337554.516867,5.1408229504763894e-05,False,up
0,100.9,80,80,0.0,0.0,0,1701337566.964182,4.866204162537165e-05,False,up
0,106.99,80,80,0.0,0.0,0,1701337596.7674935,4.589213945228527e-05,False,up
0,106.32,80,80,0.0,0.0,0,1701337608.0732267,4.618133935289692e-05,False,up
0,107.5,80,80,0.0,0.0,0,1701337620.714843,4.567441860465116e-05,False,up
0,110.59,80,80,0.0,0.0,0,1701337639.7282093,4.439822768785605e-05,False,up
0,111.51,80,80,0.0,0.0,0,1701337651.5059814,4.403192538785759e-05,False,up
