Buy,Current_Price,Hold,No of Securities,Profit or Loss,ROI,Sell,Time taken,Total ROI,Volatility,Trend
0,101.12,0,99,1.12,0.011313131313131315,1,1701375953.5919585,0.0012043996132208156,False,up
0,103.55,0,98,3.55,0.036224489795918365,1,1701375966.6542065,0.0011881374471565545,False,up
0,104.48,0,97,4.48,0.046185567010309285,1,1701375977.878697,0.0011897013782542114,False,up
0,98.19,0,96,-1.81,-0.01885416666666667,1,1701375984.402858,0.001279099619784771,False,up
0,97.57,0,95,-2.43,-0.025578947368421055,1,1701375990.7460382,0.0013007773096778022,False,up
1,95.51,0,96,0.0,0.0,0,1701375996.5413437,0.0013149910131574354,False,up
0,100.9,96,96,0.0,0.0,0,1701376002.3036354,0.0012447452097786584,False,up
100,106.99,0,196,0.0,0.0,0,1701376012.2323987,0.0005749679065943604,False,up
0,106.32,0,6,1200.8,200.13333333333333,190,1701376028.456677,0.01890064584900928,False,up
10,107.5,0,16,0.0,0.0,0,1701376044.5406766,0.007009941860465116,False,up
10,110.59,0,26,0.0,0.0,0,1701376050.440312,0.004193278012339411,False,up
0,111.51,26,26,0.0,0.0,0,1701376055.747208,0.004158681870546277,False,up
