Buy,Current_Price,Hold,No of Securities,Profit or Loss,ROI,Sell,Time taken,Total ROI,Volatility,Trend
0,98.5,0,90,-15.0,-0.16666666666666666,10,1701376075.8876204,-1.6920473773265652e-05,True,down
0,104.1,90,90,0.0,0.0,0,1701376084.461339,-1.601024655779699e-05,True,down
10,108.87,0,100,0.0,0.0,0,1701376091.0518541,-1.3777900248002205e-05,True,down
0,118.01,100,100,0.0,0.0,0,1701376096.3995378,-1.2710787221421915e-05,True,down
0,99.72,100,100,0.0,0.0,0,1701376100.900316,-1.5042117930204574e-05,True,down
0,82.92,100,100,0.0,0.0,0,1701376106.06654,-1.808972503617945e-05,True,down
0,73.05,100,100,0.0,0.0,0,1701376111.7661014,-2.053388090349076e-05,True,down
0,75.61,100,100,0.0,0.0,0,1701376117.1118712,-1.9838645681788122e-05,True,down
0,88.97,100,100,0.0,0.0,0,1701376122.2013052,-1.6859615600764303e-05,True,down
0,75.77,100,100,0.0,0.0,0,1701376127.279865,-1.9796753332453477e-05,True,down
0,81.77,100,100,0.0,0.0,0,1701376132.496397,-1.8344135991194813e-05,True,down
0,76.78,100,100,0.0,0.0,0,1701376138.5125148,-1.953633758791352e-05,True,down
