Period,Base Price
1,100
2,98.14768039
3,96.16064663
4,94.72088911
5,97.57514524
6,98.88860823
7,96.21116444
8,95.46181696
9,98.05506441
10,102.8542561
11,101.751284
12,104.4960849
13,103.3341753
14,105.6074766
15,108.5964469
16,108.8574556
17,106.4241812
18,107.9481351
19,105.691673
20,107.5271533
21,108.5290898
22,111.8716848
23,105.851646
24,103.5783447
25,103.3931127
26,102.003873
27,103.502568
28,102.8458365
29,104.1256209
30,105.5232803
31,106.8704218
32,105.0433611
33,103.1405237
34,101.9617749
35,102.972131
36,99.60427717
37,95.86595942
38,103.0479077
39,104.9254862
40,104.6476383
41,107.5103141
42,107.4092784
43,109.5647049
44,110.9371053
45,105.1528164
46,107.7376442
47,103.2836575
48,105.4054054
49,106.2305296
50,104.8076113
51,103.5109876
52,102.1133283
53,102.7279616
54,104.2519155
55,105.0012629
56,103.6036036
57,100.783026
58,97.27203839
59,95.9838343
60,99.7810895
61,97.48252926
62,98.80441189
63,99.9747411
64,100.3199461
65,95.59653111
66,103.4773091
67,102.1470068
68,101.4565968
69,101.7681233
70,103.6541214
71,100.6651511
72,98.00117875
73,100.830176
74,102.5477814
75,101.6165698
76,104.0633157
77,105.0399933
78,105.9341585
79,106.888945
80,104.3815778
81,101.6199377
82,100.6752547
83,99.31127389
84,98.24871601
85,97.61219163
86,96.6405658
87,95.13345121
88,93.09589964
89,95.62179001
90,92.91066768
91,95.84070051
92,91.53826724
93,90.52791109
94,88.68401111
95,90.17428644
96,85.6613623
97,78.60570851
98,86.46122758
99,99.38536668
100,82.34907805
101,86.20021891
102,84.17950661
103,78.80441189
104,83.36280205
105,87.37896775
106,83.50593584
107,84.3478993
108,89.78698324
109,89.71120653
110,90.31742022
111,87.00850383
112,90.98257136
113,95.28500463
114,91.9424097
115,93.83682748
116,93.10431927
117,86.75591479
118,83.86798013
119,79.27085964
120,83.14389156
121,86.53700429
122,84.23844405
123,83.13547192
124,83.34596279
125,87.16847689
126,85.07198788
127,84.09531026
128,85.24038057
129,82.09143723
130,86.17496001
131,83.62381073
132,81.24947377
133,83.17757009
134,82.38612444
135,82.68923129
136,82.04933906
137,78.92565463
138,79.8939126
139,83.32070388
140,88.31354719
141,80.80323314
142,81.72939294
143,76.02930033
144,79.11930622
145,79.56554686
146,79.02669024
147,79.2119222
148,77.33434369
149,78.63096742
150,77.57851309
151,78.46257472
152,78.2857624
153,78.5299318
154,78.66464595
155,70.73335017
156,73.56234739
157,69.64721731
158,71.1543319
159,68.00538857
160,67.18868401
161,64.75540962
162,67.74437989
163,80.82007241
164,90.28374169
165,83.89323903
166,83.58171255
167,87.91782437
168,90.22480424
169,97.21310095
170,94.77982656
171,112.9578176
172,118.5652943
173,119.7777216
174,112.6126126
175,106.5336364
176,100.7240886
177,106.4494401
178,104.0666835
179,105.8179675
180,110.9286857
181,103.6036036
182,106.3568241
183,109.3036962
184,103.8056748
185,105.1949145
186,104.2771744
187,109.261598
188,107.695546
189,110.8444893
190,107.4176981
191,109.4636693
192,104.0582639
193,108.0660099
194,109.5647049
195,114.2881199
196,114.9616907
197,116.6540372
198,114.2881199
199,111.0465606
200,112.8904606
201,109.9941063
202,109.5226067
203,111.383346
204,112.0990149
205,109.6236423
206,113.7240044
207,108.5964469
208,112.7557464
209,112.8820409
210,114.8017176
211,111.4170245
212,110.1709186
213,112.9241391
214,110.4319273
215,114.9953692
216,111.3580871
217,116.4603856
218,113.9597541
219,117.6980719
220,115.8710112
221,118.1443125
222,112.0316578
223,116.4856445
224,120.1060874
225,123.7181106
226,128.2815526
227,129.6286941
228,133.3333333
229,130.5969521
230,137.349499
231,133.846931
232,136.2044287
233,137.3343437
234,138.7016923
235,141.1097078
236,139.5015576
237,135.5948472
238,133.5926581
239,132.3532879
240,129.6387977
